"","MarketID","MarketSize","LocationID","AgeOfStore","Promotion","Week","SalesInThousands","Sales_Prom1","Sales_Prom2"
"1",1,"Medium",1,4,1,1,33.73,33.73,34.08
"2",1,"Medium",1,4,1,2,35.67,35.67,35.48
"3",1,"Medium",1,4,1,3,29.03,29.03,29.19
"4",1,"Medium",1,4,1,4,39.25,39.25,46.78
"5",1,"Medium",2,5,2,1,27.81,24.96,27.81
"6",1,"Medium",2,5,2,2,34.67,39.29,34.67
"7",1,"Medium",2,5,2,3,27.98,29.76,27.98
"8",1,"Medium",2,5,2,4,27.72,30.73,27.72
"11",1,"Medium",3,12,1,3,45.49,45.49,45.83
"13",1,"Medium",4,1,2,1,39.28,35.04,39.28
"14",1,"Medium",4,1,2,2,39.8,41.58,39.8
"15",1,"Medium",4,1,2,3,24.77,23.04,24.77
"16",1,"Medium",4,1,2,4,30.98,32.4,30.98
"18",1,"Medium",5,10,2,2,24.82,13.91,24.82
"20",1,"Medium",5,10,2,4,23.35,24.7,23.35
"21",1,"Medium",6,10,1,1,32.9,32.9,27.92
"22",1,"Medium",6,10,1,2,22.18,22.18,27.46
"23",1,"Medium",6,10,1,3,42.98,42.98,49.97
"24",1,"Medium",6,10,1,4,26.68,26.68,39.25
"26",1,"Medium",7,15,1,2,42.16,42.16,39.88
"27",1,"Medium",7,15,1,3,51.72,51.72,45.99
"29",1,"Medium",8,10,2,1,30.08,31.49,30.08
"30",1,"Medium",8,10,2,2,28.62,29.23,28.62
"31",1,"Medium",8,10,2,3,25.4,15.08,25.4
"32",1,"Medium",8,10,2,4,27.26,24.84,27.26
"34",1,"Medium",9,6,1,2,38.64,38.64,36.84
"35",1,"Medium",9,6,1,3,40.9,40.9,51.37
"36",1,"Medium",9,6,1,4,41.11,41.11,47.4
"37",1,"Medium",10,5,2,1,34.27,32.13,34.27
"39",1,"Medium",10,5,2,3,23.93,20.58,23.93
"40",1,"Medium",10,5,2,4,35.16,40,35.16
"41",1,"Medium",11,5,1,1,33.42,33.42,36.09
"42",1,"Medium",11,5,1,2,37.93,37.93,36.31
"44",1,"Medium",11,5,1,4,40.25,40.25,42.08
"45",1,"Medium",12,12,1,1,35.85,35.85,32.76
"46",1,"Medium",12,12,1,2,36.24,36.24,30.32
"47",1,"Medium",12,12,1,3,41.73,41.73,35.86
"48",1,"Medium",12,12,1,4,37.32,37.32,44.49
"50",1,"Medium",13,12,1,2,36.88,36.88,41.78
"51",1,"Medium",13,12,1,3,35.68,35.68,36.84
"52",1,"Medium",13,12,1,4,46.45,46.45,42.81
"55",2,"Small",101,22,1,3,68.42,68.42,77.86
"56",2,"Small",101,22,1,4,60.93,60.93,66.73
"58",2,"Small",102,8,1,2,63.64,63.64,70.79
"59",2,"Small",102,8,1,3,54.68,54.68,61.41
"60",2,"Small",102,8,1,4,61.24,61.24,57.7
"62",2,"Small",103,22,1,2,58.77,58.77,47.56
"63",2,"Small",103,22,1,3,70.6,70.6,70.63
"64",2,"Small",103,22,1,4,65.06,65.06,68.93
"68",2,"Small",104,19,1,4,64.04,64.04,68.64
"69",2,"Small",105,8,1,1,59.65,59.65,68.51
"71",2,"Small",105,8,1,3,59.73,59.73,61.53
"72",2,"Small",105,8,1,4,56.72,56.72,56.72
"73",2,"Small",106,5,1,1,58.55,58.55,55.14
"75",2,"Small",106,5,1,3,53.14,53.14,51.8
"79",3,"Large",201,4,1,3,79.36,79.36,79.37
"83",3,"Large",202,8,1,3,81.55,81.55,89.51
"84",3,"Large",202,8,1,4,94.17,94.17,101.3
"86",3,"Large",203,12,1,2,78.43,78.43,82.97
"87",3,"Large",203,12,1,3,84.05,84.05,80.57
"88",3,"Large",203,12,1,4,81.18,81.18,87.5
"89",3,"Large",204,1,2,1,87.43,87.87,87.43
"90",3,"Large",204,1,2,2,81.79,86.56,81.79
"91",3,"Large",204,1,2,3,88.12,88.24,88.12
"92",3,"Large",204,1,2,4,75.29,77.09,75.29
