"","osmid","lat","lon","id","missing_neighbors","downtown","demand","supply"
"1",42421728,40.7980478,-73.9600437,1,FALSE,FALSE,0,0
"2",42421731,40.7986542,-73.9614745,2,FALSE,FALSE,0,0
"3",42421737,40.7992437,-73.9628734,3,FALSE,FALSE,0,0
"4",42421741,40.8004295,-73.9656909,4,FALSE,FALSE,0,0
"5",42421745,40.8013981,-73.9679955,5,FALSE,FALSE,0,0
"6",42421749,40.8016452,-73.9685741,6,FALSE,FALSE,0,0
"7",42421751,40.8022679,-73.9700504,7,FALSE,FALSE,0,0
"8",42421769,40.7826383,-73.9750067,8,FALSE,FALSE,0,0
"9",42421772,40.783828,-73.9778254,9,FALSE,FALSE,0,0
"10",42421775,40.7845691,-73.9795827,10,FALSE,FALSE,0,0
"11",42421776,40.7850352,-73.9806732,11,FALSE,FALSE,0,0
"12",42421778,40.7855915,-73.9820041,12,FALSE,FALSE,0,0
"13",42421783,40.8593291,-73.9313239,13,FALSE,FALSE,0,0
"14",42421785,40.858744,-73.930122,14,FALSE,FALSE,0,0
"15",42421786,40.859012,-73.927625,15,FALSE,FALSE,0,0
"16",42421791,40.859944,-73.926786,16,FALSE,FALSE,0,0
"17",42421800,40.7839869,-73.9703125,17,FALSE,FALSE,0,0
"18",42421803,40.7851818,-73.9731496,18,FALSE,FALSE,0,0
"19",42421806,40.7863627,-73.9759753,19,FALSE,FALSE,0,0
"20",42421809,40.7870877,-73.9776927,20,FALSE,FALSE,0,0
"21",42421810,40.7875711,-73.9788225,21,FALSE,FALSE,0,0
"22",42421820,40.788486,-73.9810702,22,FALSE,FALSE,0,0
"23",42421828,40.725326,-73.976212,23,FALSE,TRUE,0,0
"24",42421852,40.8126219,-73.9568234,24,FALSE,FALSE,0,0
"25",42421857,40.8138307,-73.9598214,25,FALSE,FALSE,0,0
"26",42421865,40.814184,-73.9606929,26,FALSE,FALSE,0,0
"27",42421877,40.7328569,-73.9959291,27,FALSE,TRUE,0,0
"28",42421889,40.7341463,-73.9991816,28,FALSE,TRUE,0,0
"29",42421941,40.7042693,-74.0087265,29,FALSE,TRUE,0,0
"30",42421946,40.7038639,-74.008386,30,FALSE,TRUE,0,0
"31",42421951,40.7033264,-74.0077746,31,FALSE,TRUE,0,0
"32",42421960,40.7041084,-74.0089696,32,FALSE,TRUE,0,0
"33",42421965,40.7032048,-74.0079952,33,FALSE,TRUE,0,0
"34",42421969,40.7692956,-73.9810586,34,FALSE,TRUE,0,0
"35",42421972,40.7697925,-73.982236,35,FALSE,TRUE,0,0
"36",42421974,40.7704797,-73.9838597,36,FALSE,TRUE,0,0
"37",42421982,40.7716605,-73.986677,37,FALSE,TRUE,0,0
"38",42421985,40.7728633,-73.9895402,38,FALSE,TRUE,0,0
"39",42421993,40.787235,-73.9679404,39,FALSE,FALSE,0,0
"40",42421996,40.7884325,-73.9707862,40,FALSE,FALSE,0,0
"41",42422000,40.7896131,-73.9736025,41,FALSE,FALSE,0,0
"42",42422006,40.7902583,-73.9751294,42,FALSE,FALSE,0,0
"43",42422016,40.7908218,-73.9764487,43,FALSE,FALSE,0,0
"44",42422018,40.7917878,-73.978619,44,FALSE,FALSE,0,0
"45",42422026,40.7115841,-74.0157844,45,FALSE,TRUE,0,0
"46",42422028,40.7110047,-74.0143969,46,FALSE,TRUE,0,0
"47",42422038,40.7096669,-74.0116583,47,FALSE,TRUE,0,0
"48",42422042,40.7091731,-74.0105706,48,FALSE,TRUE,0,0
"49",42422050,40.7086249,-74.0093797,49,FALSE,TRUE,0,0
"50",42422053,40.7077288,-74.0082757,50,FALSE,TRUE,0,0
"51",42422086,40.8016439,-73.9333873,51,FALSE,FALSE,0,0
"52",42422110,40.8021471,-73.9337706,52,FALSE,FALSE,0,0
"53",42422168,40.8021545,-73.9328935,53,FALSE,FALSE,0,0
"54",42422258,40.748197,-74.00742,54,FALSE,TRUE,0,0
"55",42422270,40.7062566,-74.0027542,55,FALSE,TRUE,0,0
"56",42422283,40.7094916,-74.001657,56,FALSE,TRUE,0,0
"57",42422399,40.7879993,-73.9827522,57,TRUE,FALSE,0,0
"58",42422449,40.8007075,-73.9311515,58,FALSE,FALSE,0,0
"59",42422509,40.7381466,-73.9736517,59,FALSE,TRUE,0,0
"60",42422592,40.7849764,-73.9826519,60,FALSE,FALSE,0,0
"61",42422899,40.7456883,-73.9721236,61,FALSE,TRUE,0,0
"62",42423020,40.7460792,-73.9749383,62,FALSE,TRUE,0,0
"63",42423039,40.7163982,-73.9757407,63,FALSE,TRUE,0,0
"64",42423051,40.718847,-73.9748036,64,FALSE,TRUE,0,0
"65",42423070,40.7835314,-73.9853322,65,FALSE,FALSE,0,0
"66",42423101,40.8442415,-73.9337078,66,FALSE,FALSE,0,0
"67",42423116,40.846152,-73.932313,67,FALSE,FALSE,0,0
"68",42423170,40.8026802,-73.9326159,68,FALSE,FALSE,0,0
"69",42423189,40.8033683,-73.9329255,69,FALSE,FALSE,0,0
"70",42423203,40.802694,-73.9334099,70,FALSE,FALSE,0,0
"71",42423295,40.7132542,-73.9775923,71,FALSE,TRUE,0,0
"72",42423296,40.7124667,-73.9777769,72,FALSE,TRUE,0,0
"73",42423307,40.71075,-73.9814926,73,TRUE,TRUE,0,0
"74",42423456,40.7237914,-74.006113,74,FALSE,TRUE,0,0
"75",42423514,40.724504,-74.007029,75,TRUE,TRUE,0,0
"76",42423549,40.721087,-73.9747151,76,FALSE,TRUE,0,0
"77",42423564,40.7589831,-73.9645095,77,FALSE,TRUE,0,0
"78",42423565,40.7596426,-73.9640002,78,FALSE,TRUE,0,0
"79",42423579,40.7595738,-73.960551,79,FALSE,FALSE,0,0
"80",42423674,40.766876,-73.979076,80,FALSE,TRUE,0,0
"81",42423752,40.7620775,-73.9619964,81,FALSE,FALSE,0,0
"82",42423774,40.738339,-73.9738156,82,FALSE,TRUE,0,0
"83",42423832,40.7587817,-73.998505,83,FALSE,TRUE,0,0
"84",42423836,40.7593876,-73.9969538,84,FALSE,TRUE,0,0
"85",42423847,40.7588687,-73.9992001,85,TRUE,TRUE,0,0
"86",42423885,40.7577433,-73.9968456,86,FALSE,TRUE,0,0
"87",42424025,40.7828748,-73.9437833,87,FALSE,FALSE,0,0
"88",42424032,40.780311,-73.9856862,88,FALSE,FALSE,0,0
"89",42424089,40.7606212,-73.9643559,89,FALSE,TRUE,0,0
"90",42424117,40.7944866,-73.9318124,90,FALSE,FALSE,0,0
"91",42424133,40.793757,-73.9322765,91,TRUE,FALSE,0,0
"92",42424142,40.769641,-73.9484005,92,FALSE,FALSE,0,0
"93",42424145,40.7687032,-73.9491341,93,FALSE,FALSE,0,0
"94",42424218,40.7693848,-73.9950304,94,FALSE,TRUE,0,85
"95",42424225,40.7794865,-73.9735934,95,FALSE,FALSE,0,0
"96",42424235,40.8171783,-73.9344659,96,FALSE,FALSE,0,0
"97",42424258,40.7217241,-74.0067668,97,FALSE,TRUE,0,0
"98",42424334,40.7211998,-74.0079995,98,FALSE,TRUE,0,0
"99",42424347,40.7209099,-74.0078146,99,FALSE,TRUE,0,0
"100",42424354,40.7208183,-74.0075453,100,FALSE,TRUE,0,0
"101",42424408,40.7219848,-74.0082309,101,FALSE,TRUE,0,0
"102",42424439,40.7916758,-73.964694,102,FALSE,FALSE,0,0
"103",42424531,40.8295918,-73.9352393,103,FALSE,FALSE,0,0
"104",42424551,40.8305218,-73.9355839,104,FALSE,FALSE,0,0
"105",42424576,40.8304127,-73.9363638,105,FALSE,FALSE,0,0
"106",42424610,40.7206456,-74.008466,106,FALSE,TRUE,0,0
"107",42424619,40.7237633,-74.007929,107,FALSE,TRUE,0,0
"108",42424630,40.7244054,-74.0070994,108,FALSE,TRUE,0,0
"109",42424641,40.7146195,-73.9768477,109,FALSE,TRUE,0,0
