"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"1",2226.471,6631.797,6306.393,5788.285,7303.331,952.906,6562.218,3203.713,4461.703,1601.14,4866.36,4823.599,803.824,5644.696,6724.307,5871.376,2313.048,7605.459,5441.517,5308.236,5061.085,4268.221,1457.144,7586.197,5312.572,5949.149,7857.695,3811.842,4800.397,3559.027,5060.37,4094.838,5036.553,5625.825,1109.021,8269.974,2585.147,4178.292,7683.461,2792.928,5878.204,2633.465,7572.163,1817.681,2405.629,3646.191,2176.486,1333.55,7942.547,7878.354,6182.25,6157.118,4129.744,6126.032,4862.747,3057.732,5017.778,479.918,5693.557,3741.67
"2",2459.803,5535.46,4903.363,4592.724,5750.161,2948.747,5106.519,2093.942,3058.673,392.385,3463.33,2883.27,1822.893,4534.925,5507.367,4761.605,1407.255,6482.716,4038.487,3905.206,3951.314,3158.45,2259.668,6183.167,3831.841,4839.378,6454.665,1915.884,3397.367,1617.999,3657.34,2691.808,3096.224,4145.094,2609.643,6862.309,644.119,3081.859,6587.124,1389.898,4475.174,1532.069,6018.993,2620.205,2631.915,1705.163,2979.01,3329.391,6539.517,6475.324,5072.479,5047.347,3022.219,4723.002,3766.41,1947.961,3614.748,2472.349,4583.786,1800.642
"3",1694.076,6331.616,5670.945,5360.306,6238.962,2421.264,5595.32,2894.504,3826.255,998.672,4147.888,3372.071,1301.807,5335.487,6274.949,5562.167,2012.678,7250.298,4806.069,4672.788,4751.876,3959.012,1493.941,6817.575,4320.642,5639.94,7203.802,2360.857,4164.949,2106.8,4424.922,3186.052,3585.025,4633.895,2089.297,7351.11,1132.92,3878.111,7383.28,2190.46,5242.756,2332.631,6507.794,1854.478,2113.774,2193.964,2213.283,2801.908,7196.249,7224.461,5873.041,5847.909,3822.781,5490.584,4562.566,2748.523,4382.33,1948.276,5384.348,2289.443
"4",6659.634,2243.747,310.326,889.577,1367.207,7029.51,501.597,3502.745,2312.856,5097.184,1834.266,2811.553,5903.656,1676.537,748.699,1217.681,5008.306,1530.891,1244.678,1406.396,2252.322,2573.965,7005.221,1503.528,1604.906,2537.71,1775.026,5064.957,2222.975,4073.303,2020.064,2745.726,2679.188,1418.864,6210.694,2187.305,5027.265,3738.242,2830.677,3902.502,747.256,4836.351,1608.551,7365.758,6119.211,4494.661,7392.766,7259.622,1859.878,1795.685,2394.124,1654.336,3678.602,324.892,3915.332,3492.233,1802.156,6401.959,1972.867,3966.227
"5",5346.356,2795.265,2503.942,1805.245,3622.446,4909.159,2874.662,1382.394,1190.945,2976.833,1595.061,1856.145,3783.305,1661.656,2741.267,1888.336,2887.955,3622.419,1538.283,1376.798,1078.045,453.614,5192.625,3885.727,2006.958,1966.109,4157.225,3751.679,707.519,2676.158,1055.676,1127.384,1918.162,2198.967,4090.343,4569.504,3536.367,1722.683,3849.059,1782.151,2061.629,2724.86,3891.278,5553.162,4103.652,3052.851,5911.967,5139.271,4242.077,4177.884,2199.21,2174.078,1663.043,2425.562,2001.198,1371.882,1655.783,4281.608,1710.517,2569.082
"6",7465.413,1253.744,1430.062,1482.335,2560.813,7392.296,1708.449,3746.268,2741.437,5459.97,2731.201,3617.332,6266.442,1132.391,787.597,1159.982,4729.769,1319.665,1875.791,1990.081,1824.371,2651.112,7675.762,2561.468,2501.841,1631.974,2021.528,5870.736,2620.036,4879.082,2446.708,3532.186,3576.123,2315.799,5936.815,3129.279,5833.044,3310.291,1840.852,4265.288,1433.271,4408.4,2802.157,8036.299,5691.26,5300.44,8198.545,7360.297,2796.558,2732.365,1396.422,652.371,3250.651,1526.904,3008.434,3855.019,2400.003,6502.634,1131.157,4772.006
"7",6985.194,2894.186,960.765,1540.016,795.478,7679.949,552.79,4153.184,2676.672,5564.08,2159.826,3137.113,6554.095,2326.976,1399.138,1868.12,5658.745,1240.628,1895.117,2056.835,2902.761,3224.404,7330.781,837.907,1930.466,3188.149,1109.405,5390.517,2873.414,4398.863,2496.136,3071.286,2920.752,1659.659,6861.133,1521.684,5352.825,4388.681,3481.116,4552.941,1397.695,5486.79,959.659,7691.318,6769.65,4820.221,7718.326,7910.061,1194.257,1130.064,3044.563,2304.775,4329.041,975.331,4565.771,4142.672,2127.716,7052.398,2623.306,4291.787
"8",5695.407,2397.288,891.472,658.391,1895.081,6504.242,1147.297,3265.539,1355.581,4274.293,870.039,1847.326,5378.388,1455.494,1495.476,996.638,4771.1,2470.825,584.945,746.663,2015.887,2336.759,6040.994,2171.276,640.679,2301.275,2442.774,4100.73,1562.753,3109.076,1062.789,1781.499,1714.961,467.411,5973.488,2855.053,4063.038,3501.807,3020.321,3377.234,463.283,4599.916,2163.913,6401.531,5882.776,3530.434,6428.539,6884.886,2527.626,2463.433,2173.081,1456.729,3442.167,711.111,3678.897,3255.027,837.929,6027.844,1736.432,3002
"9",4435.009,3498.605,2728.195,2417.556,3725.133,4529.952,2984.02,1484.027,883.505,2597.626,1288.162,1245.401,3404.098,2364.996,3332.199,2591.676,2988.256,4307.548,1863.319,1730.038,1781.385,988.521,4439.405,4007.999,1734.374,2669.449,4279.497,2840.332,1222.199,1826.162,1482.172,516.64,1458.355,2047.627,4190.644,4691.776,2780.124,1834.953,4552.399,1402.944,2300.006,2825.161,3993.965,4799.942,4205.606,2247.52,5158.747,4910.596,4364.349,4300.156,2902.55,2877.418,1775.313,2547.834,2487.761,1473.515,1439.58,4053.554,2413.857,1719.086
"10",3398.196,4747.877,3980.656,3670.017,4977.594,3277.391,4236.481,1173.285,2135.966,1345.065,2540.623,2497.862,2151.537,3614.268,4584.66,3840.948,1735.695,5560.009,3115.78,2982.499,3030.657,2237.793,3198.061,5260.46,2986.835,3918.721,5531.958,1886.724,2474.66,1235.401,2734.633,1769.101,2710.816,3300.088,2938.083,5944.237,1541.803,2161.202,5801.671,467.191,3552.467,1572.6,5246.426,3558.598,2953.045,1322.753,3917.403,3658.035,5616.81,5552.617,4151.822,4126.69,2101.562,3800.295,3021.422,1027.304,2692.041,2800.993,3663.129,1417.454
"11",2638.552,5174.879,4542.782,4232.143,5539.72,2873.794,4798.607,1733.361,2698.092,571.134,3102.749,3059.988,1747.94,4174.344,5146.786,4401.024,1332.302,6122.135,3677.906,3544.625,3590.733,2797.869,2438.417,5822.586,3548.961,4478.797,6094.084,2094.582,3036.786,1796.697,3296.759,2331.227,3272.942,3862.214,2534.69,6506.363,822.868,2721.278,6226.543,1029.317,4114.593,1171.488,5808.552,2798.954,2556.962,1883.861,3157.759,3254.438,6178.936,6114.743,4711.898,4686.766,2661.638,4362.421,3405.829,1587.38,3254.167,2397.396,4223.205,1979.34
"12",5119.36,2944.3,2466.778,1942.493,3463.716,4790.184,2722.603,1720.551,622.088,2857.858,1026.745,1331.416,3664.33,1810.691,2878.515,2037.371,3226.112,3771.454,1452.776,1291.291,1227.08,791.771,5073.65,3746.582,1472.957,2115.144,4018.08,3524.683,622.012,2533.029,970.169,900.388,1348.804,1786.21,4428.5,4430.359,3417.392,2069.393,3998.094,1663.176,1976.122,3063.017,3732.548,5434.187,4443.415,2933.876,5792.992,5170.828,4102.932,4038.739,2348.245,2323.113,2009.753,2286.417,2370.939,1710.039,1178.163,4313.786,1859.552,2425.953
"13",8358.444,3246.731,2140.271,2719.522,2013.637,8859.455,2045.016,5332.69,4142.801,6927.129,3652.052,4629.339,7733.601,2916.228,1833.433,2626.379,6513.606,1114.735,3074.623,3236.341,3608.208,4256.942,8823.007,904.419,3422.692,3718.673,468.898,6763.767,4052.92,5891.089,3850.009,4563.512,4236.486,3151.885,7720.652,928.763,6845.051,5094.128,3634.772,5732.447,2577.201,6192.237,1277.6,9183.544,7475.097,6312.447,9091.576,8966.127,596.042,531.849,3483.121,2739.07,5034.488,2154.837,5095.133,5322.178,3619.942,8108.464,3217.856,5784.013
"14",8492.879,3363.253,2274.706,2853.957,2148.072,8993.89,2179.451,5467.125,4277.236,7061.564,3786.487,4763.774,7868.036,3050.663,1967.868,2760.814,6648.041,1099.739,3209.058,3370.776,3742.643,4391.377,8957.442,1038.854,3557.127,3853.108,603.333,6898.202,4187.355,6025.524,3984.444,4697.947,4370.921,3286.32,7855.087,1063.198,6979.486,5228.563,3565.269,5866.882,2711.636,6326.672,1412.035,9317.979,7609.532,6446.882,9226.011,9100.562,730.477,666.284,3617.556,2873.505,5168.923,2289.272,5229.568,5456.613,3754.377,8242.899,3352.291,5918.448
"15",6743.809,999.57,1779.297,1311.165,3464.732,6670.692,2603.776,3024.664,2019.833,4738.366,2059.247,2895.728,5544.838,636.264,1778.524,988.812,3951.346,2410.999,1560.309,1268.477,1045.948,1929.508,6954.158,3601.053,2029.574,599.962,3112.862,5149.132,1898.432,4157.478,1725.104,2810.582,2860.077,2221.583,5158.392,4220.613,5111.44,2531.868,2066.755,3543.684,1644.899,3629.977,3706.076,7314.695,4912.837,4578.836,7476.941,6638.693,3887.892,3823.699,544.902,433.435,2472.228,2116.941,1977.584,3133.415,1678.399,5781.03,270.468,4050.402
"16",1049.344,6990.498,5912.173,5743.275,6089.065,3079.146,5795.548,3549.696,4236.399,1655.998,4435.349,3320.887,1959.689,5905.308,6516.177,6007.293,2670.868,7483.697,5189.038,5055.757,5360.218,4614.204,1670.166,6667.678,4608.103,6209.761,7352.474,1681.703,4575.093,2424.211,4835.066,3596.196,3727.814,4921.356,2747.179,7201.213,1154.081,4536.993,8042.162,2845.652,5625.725,2987.857,6357.897,2030.703,2772.849,1587.502,1656.777,3459.79,7046.352,7231.603,6442.862,6417.73,4477.973,5731.812,5221.448,3403.715,4765.299,2606.158,5954.169,2317.135
"17",4715.96,3351.349,2393.521,2082.882,2990.289,5537.718,2332.688,2475.115,548.831,2989.782,885.256,901.246,4417.416,2217.74,2997.525,2346.9,3980.676,3972.874,1528.645,1395.364,1672.65,1546.335,4756.483,3568.902,1058.01,2522.193,3941.17,3121.283,887.525,2129.629,1147.498,496.988,865.595,1371.263,5183.064,4102.437,3083.591,2823.957,4405.143,2416.262,1965.332,3817.581,3259.121,5117.02,5197.979,2550.987,5449.092,5918.362,3947.576,3961.829,2755.294,2730.162,2764.317,2213.16,3125.503,2464.603,1104.906,5064.73,2266.601,2022.553
"18",4453.333,3658.374,2696.521,2389.907,3223.538,5716.136,2579.896,2653.533,855.856,3168.2,1132.464,605.252,4595.834,2524.765,3300.525,2653.925,4159.094,4275.874,1835.67,1702.389,2075.068,1724.753,4934.901,3802.151,1305.218,2829.218,4188.378,2858.656,1194.55,1867.002,1454.523,675.406,569.601,1618.471,5361.482,4335.686,2820.964,3002.375,4712.168,2594.68,2272.357,3995.999,3492.37,5295.438,5376.397,2288.36,5186.465,6096.78,4180.825,4209.037,3062.319,3037.187,2942.735,2516.16,3303.921,2643.021,1411.931,5243.148,2573.626,1759.926
"19",5456.611,2678.213,2007.42,1494.017,3023.943,5264.649,2276.159,2054.875,751.902,3332.323,996.558,1668.667,4138.795,1544.604,2494.614,1703.536,3560.436,3469.963,939.78,778.295,1120.117,1126.095,5497.134,3287.224,1408.455,1849.057,3558.722,3861.934,323.16,2870.28,457.173,1237.639,1686.055,1600.464,4762.824,3971.001,3824.242,2300.881,3732.007,2137.641,1463.126,3397.341,3292.775,5857.671,4681.85,3291.638,6189.743,5645.293,3643.574,3579.381,2082.158,2057.026,2241.241,1827.059,2578.969,2044.363,1057.28,4788.251,1593.465,2763.204
