"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"1",2226.471,6631.797,6306.393,7303.331,952.906,3203.713,4461.703,1601.14,4823.599,5644.696,5871.376,2313.048,7605.459,5441.517,5308.236,5061.085,4268.221,1457.144,7586.197,5312.572,5949.149,7857.695,3811.842,4800.397,3559.027,5060.37,4094.838,5036.553,5625.825,1109.021,4178.292,7683.461,2792.928,5878.204,7572.163,2405.629,3646.191,2176.486,1333.55,7942.547,7878.354,6182.25,6157.118,4129.744,6126.032,4862.747,5017.778,479.918,5693.557,3741.67
"2",2459.803,5535.46,4903.363,5750.161,2948.747,2093.942,3058.673,392.385,2883.27,4534.925,4761.605,1407.255,6482.716,4038.487,3905.206,3951.314,3158.45,2259.668,6183.167,3831.841,4839.378,6454.665,1915.884,3397.367,1617.999,3657.34,2691.808,3096.224,4145.094,2609.643,3081.859,6587.124,1389.898,4475.174,6018.993,2631.915,1705.163,2979.01,3329.391,6539.517,6475.324,5072.479,5047.347,3022.219,4723.002,3766.41,3614.748,2472.349,4583.786,1800.642
"3",1694.076,6331.616,5670.945,6238.962,2421.264,2894.504,3826.255,998.672,3372.071,5335.487,5562.167,2012.678,7250.298,4806.069,4672.788,4751.876,3959.012,1493.941,6817.575,4320.642,5639.94,7203.802,2360.857,4164.949,2106.8,4424.922,3186.052,3585.025,4633.895,2089.297,3878.111,7383.28,2190.46,5242.756,6507.794,2113.774,2193.964,2213.283,2801.908,7196.249,7224.461,5873.041,5847.909,3822.781,5490.584,4562.566,4382.33,1948.276,5384.348,2289.443
"4",6659.634,2243.747,310.326,1367.207,7029.51,3502.745,2312.856,5097.184,2811.553,1676.537,1217.681,5008.306,1530.891,1244.678,1406.396,2252.322,2573.965,7005.221,1503.528,1604.906,2537.71,1775.026,5064.957,2222.975,4073.303,2020.064,2745.726,2679.188,1418.864,6210.694,3738.242,2830.677,3902.502,747.256,1608.551,6119.211,4494.661,7392.766,7259.622,1859.878,1795.685,2394.124,1654.336,3678.602,324.892,3915.332,1802.156,6401.959,1972.867,3966.227
"5",6096.668,2158.471,1097.585,2269.669,6139.933,2613.168,1462.862,4207.607,2248.587,932.859,745.461,4118.729,2507.761,393.456,552.906,1362.745,1684.388,6423.399,2405.99,1314.003,1648.133,2677.488,4501.991,1345.765,3510.337,1169.639,2182.76,2212.936,1325.839,5321.117,2848.665,2922.354,3012.925,444.016,2511.013,5229.634,3931.695,6829.8,6370.045,2762.34,2698.147,1593.073,1217.912,2789.025,917.224,3025.755,962.828,5512.382,1083.29,3403.261
"6",5346.356,2795.265,2503.942,3622.446,4909.159,1382.394,1190.945,2976.833,1856.145,1661.656,1888.336,2887.955,3622.419,1538.283,1376.798,1078.045,453.614,5192.625,3885.727,2006.958,1966.109,4157.225,3751.679,707.519,2676.158,1055.676,1127.384,1918.162,2198.967,4090.343,1722.683,3849.059,1782.151,2061.629,3891.278,4103.652,3052.851,5911.967,5139.271,4242.077,4177.884,2199.21,2174.078,1663.043,2425.562,2001.198,1655.783,4281.608,1710.517,2569.082
"7",7465.413,1253.744,1430.062,2560.813,7392.296,3746.268,2741.437,5459.97,3617.332,1132.391,1159.982,4729.769,1319.665,1875.791,1990.081,1824.371,2651.112,7675.762,2561.468,2501.841,1631.974,2021.528,5870.736,2620.036,4879.082,2446.708,3532.186,3576.123,2315.799,5936.815,3310.291,1840.852,4265.288,1433.271,2802.157,5691.26,5300.44,8198.545,7360.297,2796.558,2732.365,1396.422,652.371,3250.651,1526.904,3008.434,2400.003,6502.634,1131.157,4772.006
"8",6432.404,2607.6,674.179,1251.927,7272.543,3866.598,2123.882,5011.29,2584.323,2040.39,1581.534,5372.159,1790.969,1441.23,1602.948,2616.175,2937.818,6777.991,1388.248,1377.676,2901.563,1659.746,4837.727,2331.054,3846.073,1943.346,2518.496,2451.958,1191.634,6574.547,4102.095,3194.53,4145.535,1111.109,1493.271,6483.064,4267.431,7165.536,7623.475,1744.598,1680.405,2757.977,2018.189,4042.455,508.866,4279.185,1574.926,6765.812,2336.72,3738.997
"9",6985.194,2894.186,960.765,795.478,7679.949,4153.184,2676.672,5564.08,3137.113,2326.976,1868.12,5658.745,1240.628,1895.117,2056.835,2902.761,3224.404,7330.781,837.907,1930.466,3188.149,1109.405,5390.517,2873.414,4398.863,2496.136,3071.286,2920.752,1659.659,6861.133,4388.681,3481.116,4552.941,1397.695,959.659,6769.65,4820.221,7718.326,7910.061,1194.257,1130.064,3044.563,2304.775,4329.041,975.331,4565.771,2127.716,7052.398,2623.306,4291.787
"10",5695.407,2397.288,891.472,1895.081,6504.242,3265.539,1355.581,4274.293,1847.326,1455.494,996.638,4771.1,2470.825,584.945,746.663,2015.887,2336.759,6040.994,2171.276,640.679,2301.275,2442.774,4100.73,1562.753,3109.076,1062.789,1781.499,1714.961,467.411,5973.488,3501.807,3020.321,3377.234,463.283,2163.913,5882.776,3530.434,6428.539,6884.886,2527.626,2463.433,2173.081,1456.729,3442.167,711.111,3678.897,837.929,6027.844,1736.432,3002
"11",4435.009,3498.605,2728.195,3725.133,4529.952,1484.027,883.505,2597.626,1245.401,2364.996,2591.676,2988.256,4307.548,1863.319,1730.038,1781.385,988.521,4439.405,4007.999,1734.374,2669.449,4279.497,2840.332,1222.199,1826.162,1482.172,516.64,1458.355,2047.627,4190.644,1834.953,4552.399,1402.944,2300.006,3993.965,4205.606,2247.52,5158.747,4910.596,4364.349,4300.156,2902.55,2877.418,1775.313,2547.834,2487.761,1439.58,4053.554,2413.857,1719.086
"12",3398.196,4747.877,3980.656,4977.594,3277.391,1173.285,2135.966,1345.065,2497.862,3614.268,3840.948,1735.695,5560.009,3115.78,2982.499,3030.657,2237.793,3198.061,5260.46,2986.835,3918.721,5531.958,1886.724,2474.66,1235.401,2734.633,1769.101,2710.816,3300.088,2938.083,2161.202,5801.671,467.191,3552.467,5246.426,2953.045,1322.753,3917.403,3658.035,5616.81,5552.617,4151.822,4126.69,2101.562,3800.295,3021.422,2692.041,2800.993,3663.129,1417.454
"13",2638.552,5174.879,4542.782,5539.72,2873.794,1733.361,2698.092,571.134,3059.988,4174.344,4401.024,1332.302,6122.135,3677.906,3544.625,3590.733,2797.869,2438.417,5822.586,3548.961,4478.797,6094.084,2094.582,3036.786,1796.697,3296.759,2331.227,3272.942,3862.214,2534.69,2721.278,6226.543,1029.317,4114.593,5808.552,2556.962,1883.861,3157.759,3254.438,6178.936,6114.743,4711.898,4686.766,2661.638,4362.421,3405.829,3254.167,2397.396,4223.205,1979.34
"14",4825.368,2849.391,1739.161,2520.794,5772.508,2702.875,619.097,3404.254,977.287,1649.78,1692.54,4208.436,3318.514,874.285,741.004,1896.724,1774.095,5170.955,3018.965,543,2295.616,3290.463,3230.691,957.791,2239.037,1055.168,911.46,941.636,856.253,5410.824,3051.717,3868.01,2645.5,1310.972,2789.626,5425.739,2660.395,5558.5,6153.152,3375.315,3311.122,2240.556,2164.991,2992.077,1558.8,3353.263,450.546,5296.11,1730.773,2131.961
"15",5119.36,2944.3,2466.778,3463.716,4790.184,1720.551,622.088,2857.858,1331.416,1810.691,2037.371,3226.112,3771.454,1452.776,1291.291,1227.08,791.771,5073.65,3746.582,1472.957,2115.144,4018.08,3524.683,622.012,2533.029,970.169,900.388,1348.804,1786.21,4428.5,2069.393,3998.094,1663.176,1976.122,3732.548,4443.415,2933.876,5792.992,5170.828,4102.932,4038.739,2348.245,2323.113,2009.753,2286.417,2370.939,1178.163,4313.786,1859.552,2425.953
"16",2054.811,6311.585,6134.733,7131.671,1125.854,2882.969,4290.043,1429.48,4651.939,5323.952,5550.632,1992.836,7284.715,5269.857,5136.576,4740.341,3947.477,1576.217,7414.537,5140.912,5628.405,7686.035,3640.182,4628.737,3387.367,4888.71,3923.178,4864.893,5454.165,788.809,3858.08,7363.249,2621.268,5706.544,7400.503,2088.761,3474.531,2295.559,1506.498,7770.887,7706.694,5861.506,5836.374,3809.532,5954.372,4542.535,4846.118,651.03,5372.813,3570.01
"17",8358.444,3246.731,2140.271,2013.637,8859.455,5332.69,4142.801,6927.129,4629.339,2916.228,2626.379,6513.606,1114.735,3074.623,3236.341,3608.208,4256.942,8823.007,904.419,3422.692,3718.673,468.898,6763.767,4052.92,5891.089,3850.009,4563.512,4236.486,3151.885,7720.652,5094.128,3634.772,5732.447,2577.201,1277.6,7475.097,6312.447,9091.576,8966.127,596.042,531.849,3483.121,2739.07,5034.488,2154.837,5095.133,3619.942,8108.464,3217.856,5784.013
"18",8492.879,3363.253,2274.706,2148.072,8993.89,5467.125,4277.236,7061.564,4763.774,3050.663,2760.814,6648.041,1099.739,3209.058,3370.776,3742.643,4391.377,8957.442,1038.854,3557.127,3853.108,603.333,6898.202,4187.355,6025.524,3984.444,4697.947,4370.921,3286.32,7855.087,5228.563,3565.269,5866.882,2711.636,1412.035,7609.532,6446.882,9226.011,9100.562,730.477,666.284,3617.556,2873.505,5168.923,2289.272,5229.568,3754.377,8242.899,3352.291,5918.448
"19",6743.809,999.57,1779.297,3464.732,6670.692,3024.664,2019.833,4738.366,2895.728,636.264,988.812,3951.346,2410.999,1560.309,1268.477,1045.948,1929.508,6954.158,3601.053,2029.574,599.962,3112.862,5149.132,1898.432,4157.478,1725.104,2810.582,2860.077,2221.583,5158.392,2531.868,2066.755,3543.684,1644.899,3706.076,4912.837,4578.836,7476.941,6638.693,3887.892,3823.699,544.902,433.435,2472.228,2116.941,1977.584,1678.399,5781.03,270.468,4050.402
"20",6994.74,1908.551,666.225,2226.293,7143.246,3616.481,2469.515,5210.92,3146.659,1214.06,792.946,4811.438,1417.087,1508.755,1627.989,1906.04,2554.774,7340.327,2362.614,1940.012,2163.868,2018.521,5400.063,2349.787,4408.409,2176.292,3080.832,3014.294,1753.97,6018.484,3391.96,2495.659,4016.238,1014.241,2467.637,5772.929,4829.767,7727.872,7263.959,2718.964,2654.771,1928.316,1131.772,3332.32,1003.869,3540.328,2037.911,6406.296,1607.271,4301.333
"21",1049.344,6990.498,5912.173,6089.065,3079.146,3549.696,4236.399,1655.998,3320.887,5905.308,6007.293,2670.868,7483.697,5189.038,5055.757,5360.218,4614.204,1670.166,6667.678,4608.103,6209.761,7352.474,1681.703,4575.093,2424.211,4835.066,3596.196,3727.814,4921.356,2747.179,4536.993,8042.162,2845.652,5625.725,6357.897,2772.849,1587.502,1656.777,3459.79,7046.352,7231.603,6442.862,6417.73,4477.973,5731.812,5221.448,4765.299,2606.158,5954.169,2317.135
"22",4715.96,3351.349,2393.521,2990.289,5537.718,2475.115,548.831,2989.782,901.246,2217.74,2346.9,3980.676,3972.874,1528.645,1395.364,1672.65,1546.335,4756.483,3568.902,1058.01,2522.193,3941.17,3121.283,887.525,2129.629,1147.498,496.988,865.595,1371.263,5183.064,2823.957,4405.143,2416.262,1965.332,3259.121,5197.979,2550.987,5449.092,5918.362,3947.576,3961.829,2755.294,2730.162,2764.317,2213.16,3125.503,1104.906,5064.73,2266.601,2022.553
"23",4453.333,3658.374,2696.521,3223.538,5716.136,2653.533,855.856,3168.2,605.252,2524.765,2653.925,4159.094,4275.874,1835.67,1702.389,2075.068,1724.753,4934.901,3802.151,1305.218,2829.218,4188.378,2858.656,1194.55,1867.002,1454.523,675.406,569.601,1618.471,5361.482,3002.375,4712.168,2594.68,2272.357,3492.37,5376.397,2288.36,5186.465,6096.78,4180.825,4209.037,3062.319,3037.187,2942.735,2516.16,3303.921,1411.931,5243.148,2573.626,1759.926
"24",5456.611,2678.213,2007.42,3023.943,5264.649,2054.875,751.902,3332.323,1668.667,1544.604,1703.536,3560.436,3469.963,939.78,778.295,1120.117,1126.095,5497.134,3287.224,1408.455,1849.057,3558.722,3861.934,323.16,2870.28,457.173,1237.639,1686.055,1600.464,4762.824,2300.881,3732.007,2137.641,1463.126,3292.775,4681.85,3291.638,6189.743,5645.293,3643.574,3579.381,2082.158,2057.026,2241.241,1827.059,2578.969,1057.28,4788.251,1593.465,2763.204
"25",6046.781,2258.185,779.706,1796.229,6644.539,3128.955,1515.768,4625.667,2198.7,1316.391,857.535,4634.516,2317.678,447.59,609.308,1878.532,2200.175,6392.368,2059.51,992.053,2163.92,2331.008,4452.104,1703.05,3460.45,1222.976,2132.873,2066.335,806.011,5836.904,3364.452,2881.218,3517.531,324.18,2065.061,5745.421,3881.808,6779.913,6885.832,2415.86,2351.667,2033.978,1317.626,3304.812,599.345,3541.542,1014.751,6028.169,1599.077,3353.374
"26",4864.649,3206.737,2248.909,3105.611,5557.63,2487.997,404.219,3216.697,1016.568,2073.128,2202.288,3993.558,3828.262,1384.033,1250.752,1681.846,1559.217,4983.398,3528.713,1173.332,2377.581,3800.211,3269.972,742.913,2278.318,1002.886,723.903,980.917,1486.585,5195.946,2836.839,4260.531,2430.622,1820.72,3374.443,5210.861,2699.676,5597.781,5938.274,3885.063,3820.87,2610.682,2585.55,2777.199,2068.548,3138.385,960.294,5081.232,2121.989,2171.242
"27",2739.906,5107.676,5130.404,6576.596,2161.23,1847.135,3734.968,876.042,4096.864,4288.118,4514.798,788.046,6248.881,4549.063,4353.97,3691.707,2911.643,2539.771,6818.148,4585.837,4592.571,6850.315,3091.005,3718.299,2834.403,4066.456,3368.103,4309.818,4899.09,1338.765,2654.171,6159.34,1602.614,4856.174,6845.428,1362.657,2921.755,3259.113,2058.973,7174.498,7110.305,4825.672,4800.54,2604.742,5329.382,3338.626,4291.043,1201.31,4336.979,3016.456
"28",5407.129,3192.557,1292.992,1705.317,6856.204,3786.571,1707.543,4496.418,1845.655,2252.71,1793.854,5292.132,2872.345,1383.909,1405.071,2674.295,2857.791,6195.37,2283.93,751.547,2959.683,2784.849,3812.452,1914.715,3119.177,1719.235,2003.624,1285.171,476.833,6494.52,4135.413,3779.665,3729.196,1257.086,1974.149,6509.435,3540.535,6140.261,7236.848,2662.604,2805.508,2904.623,2253.945,4075.773,1112.631,4337.305,1084.418,6379.806,2394.84,3012.101
"29",8244.564,1167.301,2069.149,3052.077,8171.447,4525.419,3520.588,6239.121,4396.483,1911.542,1939.133,5502.514,1225.226,2654.942,2769.232,2597.116,3430.263,8454.913,2690.642,3280.992,2033.021,2150.702,6649.887,3399.187,5658.233,3225.859,4311.337,4355.274,3094.95,6709.56,3938.289,1555.342,5044.439,2212.422,3063.823,6464.005,6079.591,8977.696,8139.448,2925.732,2861.539,1949.093,1398.216,4023.396,2165.991,3104.713,3179.154,7281.785,1877.002,5551.157
"30",4622.7,3417.866,2021.532,2198.424,6096.128,3026.495,973.823,3711.989,1061.226,2218.255,2261.015,4532.056,3593.056,1442.76,1309.479,2220.344,2097.715,5410.941,2777.037,777.142,2864.091,3461.833,3028.023,1312.517,2334.748,1572.49,1219.195,500.742,1090.395,5734.444,3375.337,4436.485,2969.12,1879.447,2467.256,5749.359,2756.106,5355.832,6476.772,3155.711,3340.962,2809.031,2733.466,3315.697,1841.171,3676.883,1019.021,5619.73,2299.248,2227.672
"31",5076.141,2747.997,2439.013,3455.536,4738.62,1302.863,1024.035,2806.294,1585.93,1614.388,1841.068,2808.424,3575.151,1371.373,1209.888,1030.777,374.083,5022.086,3718.817,1840.048,1918.841,3990.315,3481.464,540.609,2489.81,888.766,857.169,1751.252,2032.057,4010.812,1651.705,3801.791,1611.612,1894.719,3724.368,4025.727,2882.312,5741.428,5059.74,4075.167,4010.974,2151.942,2126.81,1592.065,2258.652,1953.251,1488.873,4202.077,1663.249,2382.734
"32",6872.921,1008.606,1357.975,3043.41,6799.804,3153.776,2148.945,4867.478,3024.84,528.285,567.49,4091.703,2109.876,1283.299,1397.589,1186.305,2058.62,7083.27,3179.731,2158.686,1019.951,2711.31,5278.244,2027.544,4286.59,1854.216,2939.694,2989.189,2106.105,5298.749,2672.225,2075.791,3672.796,1223.577,3284.754,5053.194,4707.948,7606.053,6767.805,3486.34,3422.147,784.399,353.549,2612.585,1695.619,2396.411,1807.511,5910.142,466.191,4179.514
"33",7750.679,1837.582,1422.164,2376.231,7776.917,4130.889,3126.058,5844.591,3902.598,1695.019,1544.603,5292.397,549.38,2260.412,2374.702,2386.999,3035.733,8060.383,2014.796,2695.951,2367.205,1474.856,6156.002,3004.657,5164.348,2831.329,3836.771,3770.233,2509.909,6499.443,3872.919,2039.598,4649.909,1770.18,2387.977,6253.888,5585.706,8483.811,7744.918,2249.886,2185.693,2131.653,1436.81,3813.279,1519.006,3743.665,2784.624,6887.255,1915.596,5057.272
"34",3543.746,6563.799,6789.562,8340.985,702.753,3734.435,5798.281,2939.355,6141.573,5787.47,6014.15,2245.05,7748.233,6287.338,6013.128,5148.711,4534.164,2703.343,8477.306,6649.15,6091.923,8349.667,5129.117,5456.574,4876.302,5804.731,5431.416,6354.527,6948.022,1041.023,4110.294,7615.463,3665.927,6515.332,8582.329,2333.869,4963.466,3492.541,483.368,8833.656,8769.463,6325.024,6299.892,4061.746,6988.54,4794.749,6354.356,862.417,5836.331,5058.945
"35",6892.503,1431.979,738.251,2423.686,6819.386,3173.358,2168.527,4887.06,3044.422,737.488,587.072,4334.866,1442.822,1302.881,1417.171,1429.468,2078.202,7102.852,2560.007,1928.931,1687.296,2044.256,5297.826,2047.126,4306.172,1873.798,2959.276,3003.213,1742.889,5541.912,2915.388,2019.087,3692.378,860.361,2665.03,5296.357,4727.53,7625.635,6787.387,2819.286,2755.093,1451.744,655.2,2855.748,1075.895,3063.756,1827.093,5929.724,1130.699,4199.096
"36",6751.056,1523.443,853.312,2538.747,6677.939,3031.911,2027.08,4745.613,2902.975,608.359,445.625,4205.737,1584.269,1161.434,1275.724,1300.339,1936.755,6961.405,2675.068,1787.484,1561.498,2185.703,5156.379,1905.679,4164.725,1732.351,2817.829,2861.766,1601.442,5412.783,2786.259,2110.551,3550.931,718.914,2780.091,5167.228,4586.083,7484.188,6645.94,2960.733,2896.54,1325.946,609.594,2726.619,1190.956,2937.958,1685.646,5788.277,1001.57,4057.649
"37",7488.99,1257.367,1591.246,2892.981,7415.873,3769.845,2765.014,5483.547,3640.909,1155.968,1183.559,4746.94,1651.833,1899.368,2013.658,1841.542,2674.689,7699.339,2893.636,2525.418,1628.649,2353.696,5894.313,2643.613,4902.659,2470.285,3555.763,3599.7,2339.376,5953.986,3327.462,1844.475,4288.865,1456.848,3134.325,5708.431,5324.017,8222.122,7383.874,3128.726,3064.533,1393.097,642.642,3267.822,1859.072,3005.109,2423.58,6526.211,1121.428,4795.583
"38",7055.177,985.608,1157.433,2842.868,6982.06,3336.032,2331.201,5049.734,3207.096,722.155,749.746,4313.127,1791.944,1465.555,1579.845,1407.729,2240.876,7265.526,2979.189,2091.605,1240.925,2489.824,5460.5,2209.8,4468.846,2036.472,3121.95,3165.887,1905.563,5520.173,2893.649,1572.716,3855.052,1023.035,3084.212,5274.618,4890.204,7788.309,6950.061,3264.854,3200.661,1005.373,208.829,2834.009,1495.077,2617.385,1989.767,6092.398,687.615,4361.77
"39",3729.266,7199.816,7379.237,8825.429,571.439,4095.968,5983.801,3124.875,6327.093,6423.487,6650.167,2881.067,8384.25,6797.896,6602.803,5784.728,5160.476,2888.863,9066.981,6834.67,6727.94,8985.684,5314.637,5967.132,5061.822,6315.289,5616.936,6540.047,7147.923,1677.04,4746.311,8251.48,3851.447,7105.007,9094.261,2970.128,5148.986,3678.061,352.054,9423.331,9359.138,6961.041,6935.909,4697.763,7578.215,5430.766,6539.876,1047.937,6472.348,5244.465
"40",2479.57,5371.038,4738.941,5731.436,3060.67,1929.52,2894.251,512.734,2864.545,4370.503,4597.183,1527.604,6318.294,3874.065,3740.784,3786.892,2994.028,2279.435,6018.745,3745.12,4674.956,6290.243,1897.159,3232.945,1599.274,3492.918,2527.386,3077.499,4058.373,2728.324,2917.437,6422.702,1225.476,4310.752,6000.268,2752.216,1686.438,2998.777,3441.314,6375.095,6310.902,4908.057,4882.925,2857.797,4558.58,3601.988,3450.326,2587.682,4419.364,1781.917
"41",6177.361,1985.912,938.838,2350.362,6220.626,2693.861,1543.555,4288.3,2329.28,1013.552,585.262,4199.422,2191.351,474.149,633.599,1443.438,1765.081,6504.092,2486.683,1394.696,1728.826,2758.181,4582.684,1426.458,3591.03,1250.332,2263.453,2293.629,1406.532,5401.81,2929.358,2608.945,3093.618,524.709,2591.706,5310.327,4012.388,6910.493,6450.738,2843.033,2778.84,1673.766,1045.353,2869.718,997.917,3106.448,1043.521,5593.075,1163.983,3483.954
"42",4413.545,3726.489,4040.787,5592.21,3876.584,991.382,3191.225,1944.258,3563.857,3038.695,3265.375,934.572,4999.458,3538.563,3264.353,2399.936,1785.389,4213.41,5728.531,4007.238,3092.39,5600.892,2944.668,2707.799,2301.396,3055.956,2835.096,3776.811,4199.247,2141.618,1094.102,4778.153,1069.539,3766.557,5833.554,1896.063,2388.748,4932.752,3659.537,6084.881,6020.688,3325.693,3337.111,1312.971,4239.765,1957.439,3656.063,2801.874,2873.55,2483.449
"43",1889.806,8196.245,7376.271,7883.109,2662.18,4761.763,5531.581,2865.931,5077.397,7200.49,7329.65,3877.496,8955.624,6511.395,6378.114,6619.135,5826.271,776.975,8461.722,6025.968,7504.943,8909.128,3475.747,5870.275,3812.126,6130.248,4891.378,5290.351,6339.221,2673.469,5742.74,9247.909,4057.719,6948.082,8151.941,3973.421,3381.546,1043.077,3042.824,8840.396,8929.787,7738.044,7712.912,5690.04,7195.91,6427.195,6087.656,2189.192,7249.351,3994.769
"44",7941.617,4055.529,2231.254,1596.81,8950.438,5423.673,4121.119,7008.527,4380.143,3583.512,3124.656,6929.234,1923.533,3165.606,3327.324,4173.25,4494.893,8729.858,940.739,3286.035,4458.638,1188.197,6346.94,4143.903,5653.665,3940.583,4515.733,3819.659,2861.275,8131.622,5659.17,4443.57,5823.43,2668.184,860.773,8040.139,6075.023,8674.749,9180.55,188.016,373.267,4291.919,3547.868,5599.53,2245.82,5836.26,3572.163,8322.887,3893.795,5546.589
"45",3544.1,4384.914,3427.086,3995.103,5195.045,2159.53,1582.396,2647.456,1128.212,3251.305,3380.465,3662.326,5006.439,2562.21,2428.929,2706.215,1962.884,3787.187,4573.716,2076.783,3555.758,4959.943,1959.529,1921.09,710.994,2181.063,942.193,1341.166,2390.036,4863.046,2511.07,5438.708,2078.447,2998.897,4263.935,4881.109,1132.352,4151.533,5575.689,4952.39,4980.602,3788.859,3763.727,2451.43,3246.725,3164.426,2138.471,4722.057,3300.166,603.918
"46",1881.117,6163.398,5254.543,5636.118,3530.089,2721.846,3409.853,984.297,2867.94,5078.762,5207.922,1999.167,6833.896,4389.667,4256.386,4533.672,3786.354,2122.231,6214.731,3904.24,5383.215,6787.4,1280.963,3748.547,1690.398,4008.52,2769.65,3168.623,4217.493,3198.122,3709.763,7215.062,2017.802,4826.354,5904.95,3222.599,1134.555,2488.55,3910.733,6593.405,6778.656,5616.316,5591.184,3650.123,5074.182,4394.348,3965.928,3057.101,5127.623,1864.188
"47",2729.762,5201.534,4074.79,4251.682,5070.879,2035.364,2399.016,2523.29,1483.504,4067.925,4169.91,3538.16,5646.314,3351.655,3218.374,3522.835,2779.504,3663.021,4830.295,2770.72,4372.378,5515.091,1168.62,2737.71,586.828,2997.683,1758.813,1890.431,3083.973,4738.88,3023.281,6255.328,1954.281,3788.342,4520.514,4756.943,1008.186,3337.195,5451.523,5208.969,5394.22,4605.479,4580.347,2963.641,3894.429,3685.848,2927.916,4597.891,4116.786,479.752
