"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"1",2226.471,6631.797,1942.36,6306.393,5788.285,7303.331,952.906,6562.218,3203.713,4461.703,3578.198,2325.737,1601.14,4866.36,4823.599,803.824,5644.696,6724.307,5871.376,2313.048,7605.459,4379.435,5441.517,5308.236,5061.085,4268.221,1457.144,7586.197,5312.572,5852.229,5949.149,7857.695,6021.19,3811.842,4800.397,3559.027,5060.37,4094.838,5036.553,5625.825,1109.021,8269.974,2585.147,4178.292,7683.461,2792.928,5878.204,2633.465,7572.163,1817.681,2405.629,3646.191,2176.486,1333.55,7942.547,7878.354,6182.25,6157.118,4129.744,6126.032,7371.215,4862.747,3057.732,5017.778,7124.028,6472.975,479.918,4259.517,5693.557,3741.67
"2",1694.076,6331.616,1339.892,5670.945,5360.306,6238.962,2421.264,5595.32,2894.504,3826.255,2975.73,1723.269,998.672,4147.888,3372.071,1301.807,5335.487,6274.949,5562.167,2012.678,7250.298,3655.74,4806.069,4672.788,4751.876,3959.012,1493.941,6817.575,4320.642,5543.02,5639.94,7203.802,5711.981,2360.857,4164.949,2106.8,4424.922,3186.052,3585.025,4633.895,2089.297,7351.11,1132.92,3878.111,7383.28,2190.46,5242.756,2332.631,6507.794,1854.478,2113.774,2193.964,2213.283,2801.908,7196.249,7224.461,5873.041,5847.909,3822.781,5490.584,6976.745,4562.566,2748.523,4382.33,6814.819,5506.077,1948.276,3959.336,5384.348,2289.443
"3",6659.634,2243.747,5111.201,310.326,889.577,1367.207,7029.51,501.597,3502.745,2312.856,3262.529,4519.114,5097.184,1834.266,2811.553,5903.656,1676.537,748.699,1217.681,5008.306,1530.891,2329.507,1244.678,1406.396,2252.322,2573.965,7005.221,1503.528,1604.906,2099.407,2537.71,1775.026,1226.367,5064.957,2222.975,4073.303,2020.064,2745.726,2679.188,1418.864,6210.694,2187.305,5027.265,3738.242,2830.677,3902.502,747.256,4836.351,1608.551,7365.758,6119.211,4494.661,7392.766,7259.622,1859.878,1795.685,2394.124,1654.336,3678.602,324.892,1296.647,3915.332,3492.233,1802.156,1266.824,676.558,6401.959,4146.452,1972.867,3966.227
"4",5346.356,2795.265,2990.85,2503.942,1805.245,3622.446,4909.159,2874.662,1382.394,1190.945,1246.4,2418.148,2976.833,1595.061,1856.145,3783.305,1661.656,2741.267,1888.336,2887.955,3622.419,1109.178,1538.283,1376.798,1078.045,453.614,5192.625,3885.727,2006.958,1869.189,1966.109,4157.225,2038.15,3751.679,707.519,2676.158,1055.676,1127.384,1918.162,2198.967,4090.343,4569.504,3536.367,1722.683,3849.059,1782.151,2061.629,2724.86,3891.278,5553.162,4103.652,3052.851,5911.967,5139.271,4242.077,4177.884,2199.21,2174.078,1663.043,2425.562,3388.175,2001.198,1371.882,1655.783,3140.988,2785.419,4281.608,2130.893,1710.517,2569.082
"5",7465.413,1253.744,5473.987,1430.062,1482.335,2560.813,7392.296,1708.449,3746.268,2741.437,3729.537,4901.285,5459.97,2731.201,3617.332,6266.442,1132.391,787.597,1159.982,4729.769,1319.665,3091.39,1875.791,1990.081,1824.371,2651.112,7675.762,2561.468,2501.841,1234.656,1631.974,2021.528,714.357,5870.736,2620.036,4879.082,2446.708,3532.186,3576.123,2315.799,5936.815,3129.279,5833.044,3310.291,1840.852,4265.288,1433.271,4408.4,2802.157,8036.299,5691.26,5300.44,8198.545,7360.297,2796.558,2732.365,1396.422,652.371,3250.651,1526.904,1185.85,3008.434,3855.019,2400.003,463.988,1883.41,6502.634,3706.636,1131.157,4772.006
"6",6985.194,2894.186,5737.86,960.765,1540.016,795.478,7679.949,552.79,4153.184,2676.672,3588.089,4844.674,5564.08,2159.826,3137.113,6554.095,2326.976,1399.138,1868.12,5658.745,1240.628,2655.067,1895.117,2056.835,2902.761,3224.404,7330.781,837.907,1930.466,2749.846,3188.149,1109.405,1876.806,5390.517,2873.414,4398.863,2496.136,3071.286,2920.752,1659.659,6861.133,1521.684,5352.825,4388.681,3481.116,4552.941,1397.695,5486.79,959.659,7691.318,6769.65,4820.221,7718.326,7910.061,1194.257,1130.064,3044.563,2304.775,4329.041,975.331,882.348,4565.771,4142.672,2127.716,1917.263,734.691,7052.398,4796.891,2623.306,4291.787
"7",5695.407,2397.288,4448.073,891.472,658.391,1895.081,6504.242,1147.297,3265.539,1355.581,2298.302,3554.887,4274.293,870.039,1847.326,5378.388,1455.494,1495.476,996.638,4771.1,2470.825,1365.28,584.945,746.663,2015.887,2336.759,6040.994,2171.276,640.679,1862.972,2301.275,2442.774,1142.084,4100.73,1562.753,3109.076,1062.789,1781.499,1714.961,467.411,5973.488,2855.053,4063.038,3501.807,3020.321,3377.234,463.283,4599.916,2163.913,6401.531,5882.776,3530.434,6428.539,6884.886,2527.626,2463.433,2173.081,1456.729,3442.167,711.111,2215.717,3678.897,3255.027,837.929,2192.738,1058.054,6027.844,3910.017,1736.432,3002
"8",2638.552,5174.879,178.749,4542.782,4232.143,5539.72,2873.794,4798.607,1733.361,2698.092,1814.587,562.126,571.134,3102.749,3059.988,1747.94,4174.344,5146.786,4401.024,1332.302,6122.135,2615.824,3677.906,3544.625,3590.733,2797.869,2438.417,5822.586,3548.961,4381.877,4478.797,6094.084,4550.838,2094.582,3036.786,1796.697,3296.759,2331.227,3272.942,3862.214,2534.69,6506.363,822.868,2721.278,6226.543,1029.317,4114.593,1171.488,5808.552,2798.954,2556.962,1883.861,3157.759,3254.438,6178.936,6114.743,4711.898,4686.766,2661.638,4362.421,5867.027,3405.829,1587.38,3254.167,5653.676,4709.364,2397.396,2802.599,4223.205,1979.34
"9",5119.36,2944.3,2871.875,2466.778,1942.493,3463.716,4790.184,2722.603,1720.551,622.088,1027.749,2299.173,2857.858,1026.745,1331.416,3664.33,1810.691,2878.515,2037.371,3226.112,3771.454,539.82,1452.776,1291.291,1227.08,791.771,5073.65,3746.582,1472.957,2018.224,2115.144,4018.08,2187.185,3524.683,622.012,2533.029,970.169,900.388,1348.804,1786.21,4428.5,4430.359,3417.392,2069.393,3998.094,1663.176,1976.122,3063.017,3732.548,5434.187,4443.415,2933.876,5792.992,5170.828,4102.932,4038.739,2348.245,2323.113,2009.753,2286.417,3537.21,2370.939,1710.039,1178.163,3290.023,2633.36,4313.786,2477.603,1859.552,2425.953
"10",8358.444,3246.731,6941.146,2140.271,2719.522,2013.637,8859.455,2045.016,5332.69,4142.801,5080.315,6336.9,6927.129,3652.052,4629.339,7733.601,2916.228,1833.433,2626.379,6513.606,1114.735,4147.293,3074.623,3236.341,3608.208,4256.942,8823.007,904.419,3422.692,3321.355,3718.673,468.898,2320.187,6763.767,4052.92,5891.089,3850.009,4563.512,4236.486,3151.885,7720.652,928.763,6845.051,5094.128,3634.772,5732.447,2577.201,6192.237,1277.6,9183.544,7475.097,6312.447,9091.576,8966.127,596.042,531.849,3483.121,2739.07,5034.488,2154.837,1273.759,5095.133,5322.178,3619.942,1901.516,2226.917,8108.464,5502.338,3217.856,5784.013
