"","n1","n2","d"
"V2",1,2,138.033
"V3",1,3,272.804
"V1000",1,1000,86.258
"V1001",1,1001,223.644
"V1303",1,1303,165.397
"V1304",1,1304,85.345
"V1305",1,1305,166.375
"V1306",1,1306,246.058
"V1716",1,1716,223.342
"V4394",1,4394,245.183
"V1",2,1,138.033
"V31",2,3,134.771
"V10001",2,1000,224.291
"V10011",2,1001,85.611
"V1002",2,1002,221.428
"V13041",2,1304,223.378
"V17161",2,1716,86.149
"V1717",2,1717,220.762
"V2681",2,2681,167.443
"V2682",2,2682,165.792
"V11",3,1,272.804
"V21",3,2,134.771
"V4",3,4,271.351
"V10012",3,1001,220.382
"V10021",3,1002,356.199
"V17162",3,1716,220.92
"V17171",3,1717,85.991
"V2295",3,2295,168.245
"V26811",3,2681,302.214
"V26821",3,2682,300.563
"V32",4,3,271.351
"V5",4,5,221.883
"V6",4,6,277.808
"V427",4,427,315.286
"V428",4,428,316.367
"V1003",4,1003,86.11
"V2150",4,2150,165.591
"V2151",4,2151,246.471
"V3694",4,3694,199.795
"V3700",4,3700,295.139
"V61",5,6,55.925
"V7",5,7,198.185
"V426",5,426,177.633
"V4271",5,427,93.403
"V4281",5,428,138.66
"V817",5,817,141.508
"V818",5,818,158.736
"V3676",5,3676,197.2
"V36941",5,3694,22.088
"V37001",5,3700,117.432
"V51",6,5,55.925
"V71",6,7,142.26
"V4272",6,427,149.328
"V4282",6,428,194.585
"V816",6,816,165.674
"V8171",6,817,85.583
"V8181",6,818,214.661
"V1004",6,1004,227.441
"V36942",6,3694,78.013
"V37002",6,3700,173.357
"V52",7,5,198.185
"V62",7,6,142.26
"V4273",7,427,291.588
"V8161",7,816,307.934
"V8172",7,817,227.843
"V10041",7,1004,85.181
"V2101",7,2101,165.845
"V2102",7,2102,245.825
"V3551",7,3551,304.263
"V36943",7,3694,220.273
"V9",8,9,444.754
"V297",8,297,172.601
"V1811",8,1811,249.906
"V2134",8,2134,358.573
"V2283",8,2283,494.805
"V2284",8,2284,414.825
"V2285",8,2285,334.857
"V2286",8,2286,86.01
"V8",9,8,271.702
"V10",9,10,332.737
"V19",9,19,322.028
"V405",9,405,251.36
"V1132",9,1132,162.05
"V1647",9,1647,241.916
"V2135",9,2135,81.618
"V3680",9,3680,349.833
"V3693",9,3693,233.473
"V3715",9,3715,314.432
"V91",10,9,169.357
"V299",10,299,173.237
"V404",10,404,86.209
"V4051",10,405,116.204
"V794",10,794,191.004
"V3674",10,3674,103.655
"V36801",10,3680,17.096
"V36931",10,3693,98.317
"V3711",10,3711,191.441
"V37151",10,3715,179.276
"V101",11,10,105.433
"V300",11,300,173.843
"V4041",11,404,191.349
"V7941",11,794,86.554
"V795",11,795,80.922
"V796",11,796,161.228
"V2084",11,2084,199.786
"V36741",11,3674,208.795
"V36802",11,3680,122.529
"V36932",11,3693,203.75
"V102",12,10,233.426
"V111",12,11,127.993
"V60",12,60,87.48
"V125",12,125,230.247
"V301",12,301,175.5
"V7942",12,794,214.547
"V7951",12,795,208.915
"V1133",12,1133,162.525
"V20841",12,2084,82.185
"V4405",12,4405,106.262
"V14",13,14,153.242
"V236",13,236,176.242
"V237",13,237,249
"V247",13,247,329.47
"V492",13,492,310.761
"V493",13,493,124.82
"V494",13,494,153.184
"V2303",13,2303,267.007
"V2304",13,2304,333.669
"V4422",13,4422,29.606
"V15",14,15,239.745
"V16",14,16,367.33
"V2302",14,2302,201.183
"V2744",14,2744,457.95
"V161",15,16,127.585
"V824",15,824,293.099
"V1005",15,1005,393.816
"V23031",15,2303,323.091
"V27441",15,2744,218.205
"V2898",15,2898,370.908
"V3788",15,3788,379.485
"V3789",15,3789,357.08
"V3864",15,3864,380.958
"V4178",15,4178,342.859
"V8241",16,824,165.514
"V10051",16,1005,266.231
"V23032",16,2303,195.506
"V23041",16,2304,272.106
"V27442",16,2744,90.62
"V28981",16,2898,243.323
"V37881",16,3788,251.9
"V37891",16,3789,229.495
"V38641",16,3864,253.373
"V41781",16,4178,215.274
"V39",17,39,412.733
"V119",17,119,80.763
"V263",17,263,247.017
"V1130",17,1130,161.308
"V1295",17,1295,80.571
"V1646",17,1646,353.765
"V2287",17,2287,354.945
"V4334",17,4334,252.833
"V4335",17,4335,166.893
"V4336",17,4336,332.998
"V81",18,8,323.193
"V17",18,17,273.333
"V191",18,19,432.788
"V1191",18,119,354.096
"V1131",18,1131,160.736
"V12951",18,1295,353.904
"V16461",18,1646,80.824
"V16471",18,1647,352.676
"V2275",18,2275,244.313
"V22861",18,2286,409.203
"V18",19,18,271.734
"V20",19,20,322.378
"V408",19,408,241.201
"V409",19,409,322.047
"V1184",19,1184,253.886
"V1739",19,1739,333.43
"V2136",19,2136,81.107
"V2137",19,2137,168.095
"V3688",19,3688,305.198
"V3716",19,3716,224.587
"V192",20,19,165.545
"V406",20,406,159.951
"V407",20,407,80.136
"V4081",20,408,114.695
"V4091",20,409,202.469
"V797",20,797,187.71
"V36881",20,3688,185.62
"V3696",20,3696,16.91
"V37152",20,3715,178.002
"V37161",20,3716,98.081
"V201",21,20,109.255
"V4071",21,407,189.391
"V4082",21,408,223.95
"V7952",21,795,241.251
"V7961",21,796,160.945
"V7971",21,797,80.699
"V798",21,798,80.275
"V799",21,799,167.726
"V36961",21,3696,126.165
"V37162",21,3716,207.336
"V211",22,21,215.284
"V7962",22,796,318.907
"V7972",22,797,295.983
"V7981",22,798,295.559
"V11331",22,1133,177.728
"V1185",22,1185,260.877
"V1648",22,1648,89.457
"V2082",22,2082,175.442
"V2083",22,2083,88.052
"V20842",22,2084,258.068
"V776",23,776,127.633
"V777",23,777,101.45
"V778",23,778,274.722
"V2597",23,2597,257.83
"V2754",23,2754,203.244
"V2755",23,2755,176.95
"V3029",23,3029,202.689
"V3046",23,3046,252.368
"V3260",23,3260,214.825
"V3261",23,3261,165.225
"V25",24,25,286.106
"V1825",24,1825,171.363
"V2157",24,2157,96.326
"V2158",24,2158,193.682
"V2159",24,2159,237.248
"V2160",24,2160,316.359
"V3403",24,3403,263.18
"V4002",24,4002,332.438
"V4003",24,4003,252.356
"V4369",24,4369,278.793
"V26",25,26,83.201
"V437",25,437,210.172
"V438",25,438,278.448
"V2271",25,2271,254.752
"V34031",25,3403,22.926
"V3404",25,3404,261.285
"V3740",25,3740,246.774
"V3743",25,3743,268.397
"V4243",25,4243,187.756
"V4453",25,4453,204.381
"V251",26,25,83.201
"V4371",26,437,256.251
"V2068",26,2068,253.788
"V22711",26,2271,171.551
"V34032",26,3403,106.127
"V3729",26,3729,331.857
"V3730",26,3730,244.925
"V37401",26,3740,329.391
"V42431",26,4243,270.957
"V44531",26,4453,287.582
"V28",27,28,311.336
"V1101",27,1101,347.195
"V1106",27,1106,324.191
"V1112",27,1112,126.293
"V1113",27,1113,273.815
"V1727",27,1727,76.599
"V2756",27,2756,303.043
"V3084",27,3084,300.651
"V3086",27,3086,227.907
"V4004",27,4004,183.085
"V662",28,662,88.03
"V663",28,663,81.12
"V664",28,664,158.129
"V949",28,949,41.444
"V950",28,950,115.358
"V951",28,951,192.778
"V1095",28,1095,173.876
"V1102",28,1102,191.942
"V1103",28,1103,211.477
"V1582",28,1582,102.223
"V321",29,32,27.203
"V33",29,33,157.059
"V264",29,264,93.611
"V534",29,534,255.42
"V606",29,606,225.207
"V907",29,907,281.016
"V993",29,993,245.528
"V1680",29,1680,174.131
"V2907",29,2907,207.598
"V2983",29,2983,150.433
"V29",30,29,55.693
"V322",30,32,82.896
"V331",30,33,212.752
"V2641",30,264,149.304
"V5341",30,534,311.113
"V6061",30,606,280.9
"V9931",30,993,301.221
"V16801",30,1680,229.824
"V29071",30,2907,263.291
"V29831",30,2983,206.126
"V291",31,29,134.642
"V30",31,30,78.949
"V323",31,32,161.845
"V332",31,33,23.061
"V2642",31,264,228.253
"V2357",31,2357,77.972
"V2358",31,2358,161.942
"V4075",31,4075,218.968
"V4077",31,4077,243.906
"V4078",31,4078,185.441
"V292",32,29,27.203
"V333",32,33,129.856
"V2643",32,264,66.408
"V5342",32,534,228.217
"V6062",32,606,252.41
"V9071",32,907,253.813
"V9932",32,993,218.325
"V16802",32,1680,146.928
"V29072",32,2907,234.801
"V29832",32,2983,177.636
"V9072",33,907,448.852
"V908",33,908,314.417
"V3280",33,3280,385.002
"V40751",33,4075,195.907
"V40771",33,4077,220.845
"V40781",33,4078,162.38
"V4079",33,4079,256.71
"V35",34,35,330.949
"V389",34,389,239.872
"V390",34,390,331.75
"V1288",34,1288,159.165
